score_id,customer_id,snapshot_date,product_id,model_id,model_version,propensity_probability,product_propensity_score,customer_value_score,intent_signal_score,engagement_score,timing_score,relationship_score,smart_growth_score,priority_level,prediction_timestamp
SC000026743,CUS00006686,2026-08-31,P007,sge_propensity_logreg,v3.0,0.3085,30.85,31.64,19.63,20.49,22.0,16.88,24.93,Do not prioritize,2026-08-31 18:00:00
SC000026744,CUS00006686,2026-08-31,P009,sge_propensity_logreg,v3.0,0.2455,24.55,31.64,18.63,20.49,30.0,16.88,23.95,Do not prioritize,2026-08-31 18:00:00
SC000026745,CUS00006687,2026-08-31,P001,sge_propensity_logreg,v3.0,0.1395,13.95,19.18,33.2,8.26,46.33,16.88,21.52,Do not prioritize,2026-08-31 18:00:00
SC000026746,CUS00006687,2026-08-31,P004,sge_propensity_logreg,v3.0,0.1503,15.03,19.18,21.95,8.26,46.33,16.88,19.54,Do not prioritize,2026-08-31 18:00:00
SC000026747,CUS00006687,2026-08-31,P007,sge_propensity_logreg,v3.0,0.2016,20.16,19.18,25.7,8.26,46.33,16.88,21.58,Do not prioritize,2026-08-31 18:00:00
SC000026748,CUS00006687,2026-08-31,P009,sge_propensity_logreg,v3.0,0.1392,13.92,19.18,21.02,8.26,46.33,16.88,19.08,Do not prioritize,2026-08-31 18:00:00
SC000026749,CUS00006688,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4727,47.27,84.74,50.4,25.91,74.67,55.0,55.7,Do not prioritize,2026-08-31 18:00:00
SC000026750,CUS00006688,2026-08-31,P004,sge_propensity_logreg,v3.0,0.3884,38.84,84.74,29.15,25.91,74.67,55.0,49.34,Do not prioritize,2026-08-31 18:00:00
SC000026751,CUS00006688,2026-08-31,P007,sge_propensity_logreg,v3.0,0.5277,52.77,84.74,42.15,25.91,74.67,55.0,55.42,Do not prioritize,2026-08-31 18:00:00
SC000026752,CUS00006688,2026-08-31,P009,sge_propensity_logreg,v3.0,0.5128,51.28,84.74,41.46,25.91,74.67,55.0,54.91,Do not prioritize,2026-08-31 18:00:00
SC000026753,CUS00006689,2026-08-31,P001,sge_propensity_logreg,v3.0,0.855,85.5,70.53,95.77,64.1,98.0,68.75,80.92,High,2026-08-31 18:00:00
SC000026754,CUS00006689,2026-08-31,P004,sge_propensity_logreg,v3.0,0.6934,69.34,70.53,71.27,64.1,98.0,68.75,71.98,Medium,2026-08-31 18:00:00
SC000026755,CUS00006689,2026-08-31,P007,sge_propensity_logreg,v3.0,0.5867,58.67,70.53,65.02,64.1,98.0,68.75,68.07,Low,2026-08-31 18:00:00
SC000026756,CUS00006689,2026-08-31,P009,sge_propensity_logreg,v3.0,0.5779,57.79,70.53,64.33,64.1,98.0,68.75,67.71,Low,2026-08-31 18:00:00
SC000026757,CUS00006690,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4285,42.85,26.24,27.12,54.02,82.33,62.5,43.97,Do not prioritize,2026-08-31 18:00:00
SC000026758,CUS00006690,2026-08-31,P004,sge_propensity_logreg,v3.0,0.4009,40.09,26.24,37.62,54.02,86.33,62.5,45.78,Do not prioritize,2026-08-31 18:00:00
SC000026759,CUS00006690,2026-08-31,P007,sge_propensity_logreg,v3.0,0.6082,60.82,26.24,50.12,54.02,86.33,62.5,53.46,Do not prioritize,2026-08-31 18:00:00
SC000026760,CUS00006690,2026-08-31,P009,sge_propensity_logreg,v3.0,0.3849,38.49,26.24,36.93,54.02,86.33,62.5,45.24,Do not prioritize,2026-08-31 18:00:00
SC000026761,CUS00006691,2026-08-31,P001,sge_propensity_logreg,v3.0,0.7937,79.37,77.85,53.23,39.84,74.67,76.46,67.15,Low,2026-08-31 18:00:00
SC000026762,CUS00006691,2026-08-31,P004,sge_propensity_logreg,v3.0,0.3949,39.49,77.85,28.23,39.84,70.67,76.46,51.78,Do not prioritize,2026-08-31 18:00:00
SC000026763,CUS00006691,2026-08-31,P007,sge_propensity_logreg,v3.0,0.6597,65.97,77.85,45.73,39.84,74.67,76.46,62.3,Low,2026-08-31 18:00:00
SC000026764,CUS00006691,2026-08-31,P009,sge_propensity_logreg,v3.0,0.2947,29.47,77.85,28.23,39.84,74.67,76.46,49.67,Do not prioritize,2026-08-31 18:00:00
SC000026765,CUS00006692,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4918,49.18,41.18,65.28,58.86,98.0,55.62,57.78,Do not prioritize,2026-08-31 18:00:00
SC000026766,CUS00006692,2026-08-31,P004,sge_propensity_logreg,v3.0,0.4569,45.69,41.18,57.03,58.86,98.0,55.62,55.26,Do not prioritize,2026-08-31 18:00:00
SC000026767,CUS00006692,2026-08-31,P007,sge_propensity_logreg,v3.0,0.4554,45.54,41.18,57.03,58.86,98.0,55.62,55.22,Do not prioritize,2026-08-31 18:00:00
SC000026768,CUS00006692,2026-08-31,P009,sge_propensity_logreg,v3.0,0.4449,44.49,41.18,56.34,58.86,98.0,55.62,54.82,Do not prioritize,2026-08-31 18:00:00
SC000026769,CUS00006693,2026-08-31,P001,sge_propensity_logreg,v3.0,0.3904,39.04,56.04,48.16,61.1,86.33,65.0,54.9,Do not prioritize,2026-08-31 18:00:00
SC000026770,CUS00006693,2026-08-31,P004,sge_propensity_logreg,v3.0,0.6657,66.57,56.04,53.91,61.1,86.33,65.0,62.93,Low,2026-08-31 18:00:00
SC000026771,CUS00006693,2026-08-31,P007,sge_propensity_logreg,v3.0,0.4142,41.42,56.04,41.41,61.1,86.33,65.0,54.14,Do not prioritize,2026-08-31 18:00:00
SC000026772,CUS00006693,2026-08-31,P009,sge_propensity_logreg,v3.0,0.402,40.2,56.04,40.84,61.1,86.33,65.0,53.72,Do not prioritize,2026-08-31 18:00:00
SC000026773,CUS00006694,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4286,42.86,16.41,79.24,37.17,49.67,53.12,45.7,Do not prioritize,2026-08-31 18:00:00
SC000026774,CUS00006694,2026-08-31,P004,sge_propensity_logreg,v3.0,0.4449,44.49,16.41,60.49,37.17,49.67,53.12,42.36,Do not prioritize,2026-08-31 18:00:00
SC000026775,CUS00006694,2026-08-31,P007,sge_propensity_logreg,v3.0,0.1562,15.62,16.41,41.74,37.17,49.67,53.12,31.39,Do not prioritize,2026-08-31 18:00:00
SC000026776,CUS00006694,2026-08-31,P009,sge_propensity_logreg,v3.0,0.1154,11.54,16.41,40.49,37.17,49.67,53.12,30.12,Do not prioritize,2026-08-31 18:00:00
SC000026777,CUS00006695,2026-08-31,P001,sge_propensity_logreg,v3.0,0.808,80.8,75.54,56.96,62.28,66.67,71.25,69.83,Low,2026-08-31 18:00:00
SC000026778,CUS00006695,2026-08-31,P004,sge_propensity_logreg,v3.0,0.4929,49.29,75.54,38.21,62.28,66.67,71.25,58.21,Do not prioritize,2026-08-31 18:00:00
SC000026779,CUS00006695,2026-08-31,P007,sge_propensity_logreg,v3.0,0.7523,75.23,75.54,55.71,62.28,66.67,71.25,68.19,Low,2026-08-31 18:00:00
SC000026780,CUS00006695,2026-08-31,P009,sge_propensity_logreg,v3.0,0.9479,94.79,75.54,74.14,62.28,66.67,71.25,76.77,Medium,2026-08-31 18:00:00
SC000026781,CUS00006696,2026-08-31,P001,sge_propensity_logreg,v3.0,0.2832,28.32,52.47,34.06,20.09,46.33,31.25,35.16,Do not prioritize,2026-08-31 18:00:00
SC000026782,CUS00006696,2026-08-31,P004,sge_propensity_logreg,v3.0,0.416,41.6,52.47,25.31,20.09,46.33,31.25,36.73,Do not prioritize,2026-08-31 18:00:00
SC000026783,CUS00006696,2026-08-31,P007,sge_propensity_logreg,v3.0,0.4459,44.59,52.47,25.31,20.09,46.33,31.25,37.48,Do not prioritize,2026-08-31 18:00:00
SC000026784,CUS00006696,2026-08-31,P009,sge_propensity_logreg,v3.0,0.2774,27.74,52.47,17.81,20.09,46.33,31.25,31.76,Do not prioritize,2026-08-31 18:00:00
SC000026785,CUS00006697,2026-08-31,P001,sge_propensity_logreg,v3.0,0.2246,22.46,16.45,23.33,42.6,38.0,34.38,27.2,Do not prioritize,2026-08-31 18:00:00
SC000026786,CUS00006697,2026-08-31,P004,sge_propensity_logreg,v3.0,0.1811,18.11,16.45,25.58,42.6,38.0,34.38,26.56,Do not prioritize,2026-08-31 18:00:00
SC000026787,CUS00006697,2026-08-31,P007,sge_propensity_logreg,v3.0,0.2989,29.89,16.45,31.83,42.6,34.0,34.38,30.36,Do not prioritize,2026-08-31 18:00:00
SC000026788,CUS00006697,2026-08-31,P009,sge_propensity_logreg,v3.0,0.1687,16.87,16.45,24.52,42.6,38.0,34.38,26.04,Do not prioritize,2026-08-31 18:00:00
SC000026789,CUS00006698,2026-08-31,P001,sge_propensity_logreg,v3.0,0.5843,58.43,90.68,62.6,24.55,74.67,65.62,62.98,Low,2026-08-31 18:00:00
SC000026790,CUS00006698,2026-08-31,P004,sge_propensity_logreg,v3.0,0.8183,81.83,90.68,72.85,24.55,74.67,65.62,70.88,Medium,2026-08-31 18:00:00
SC000026791,CUS00006698,2026-08-31,P007,sge_propensity_logreg,v3.0,0.3792,37.92,90.68,42.6,24.55,70.67,65.62,53.45,Do not prioritize,2026-08-31 18:00:00
SC000026792,CUS00006698,2026-08-31,P009,sge_propensity_logreg,v3.0,0.7115,71.15,90.68,60.17,24.55,74.67,65.62,65.67,Low,2026-08-31 18:00:00
SC000026793,CUS00006699,2026-08-31,P001,sge_propensity_logreg,v3.0,0.2204,22.04,38.35,22.04,31.58,71.67,61.88,35.68,Do not prioritize,2026-08-31 18:00:00
SC000026794,CUS00006699,2026-08-31,P004,sge_propensity_logreg,v3.0,0.4779,47.79,38.35,48.79,31.58,71.67,61.88,47.47,Do not prioritize,2026-08-31 18:00:00
SC000026795,CUS00006699,2026-08-31,P007,sge_propensity_logreg,v3.0,0.1459,14.59,38.35,27.04,31.58,71.67,61.88,34.82,Do not prioritize,2026-08-31 18:00:00
SC000026796,CUS00006699,2026-08-31,P009,sge_propensity_logreg,v3.0,0.3664,36.64,38.35,42.17,31.58,71.67,61.88,43.36,Do not prioritize,2026-08-31 18:00:00
SC000026797,CUS00006700,2026-08-31,P001,sge_propensity_logreg,v3.0,0.728,72.8,37.94,59.81,42.03,49.67,45.83,53.6,Do not prioritize,2026-08-31 18:00:00
SC000026798,CUS00006700,2026-08-31,P004,sge_propensity_logreg,v3.0,0.4977,49.77,37.94,47.81,42.03,49.67,45.83,45.45,Do not prioritize,2026-08-31 18:00:00
SC000026799,CUS00006700,2026-08-31,P007,sge_propensity_logreg,v3.0,0.4592,45.92,37.94,41.56,42.03,49.67,45.83,43.23,Do not prioritize,2026-08-31 18:00:00
SC000026800,CUS00006700,2026-08-31,P009,sge_propensity_logreg,v3.0,0.4112,41.12,37.94,40.87,42.03,49.67,45.83,41.9,Do not prioritize,2026-08-31 18:00:00
SC000026801,CUS00006701,2026-08-31,P001,sge_propensity_logreg,v3.0,0.7312,73.12,56.51,65.91,68.49,86.33,59.38,67.61,Low,2026-08-31 18:00:00
SC000026802,CUS00006701,2026-08-31,P004,sge_propensity_logreg,v3.0,0.5997,59.97,56.51,51.41,68.49,86.33,59.38,61.42,Low,2026-08-31 18:00:00
SC000026803,CUS00006701,2026-08-31,P007,sge_propensity_logreg,v3.0,0.6327,63.27,56.51,51.41,68.49,86.33,59.38,62.25,Low,2026-08-31 18:00:00
SC000026804,CUS00006701,2026-08-31,P009,sge_propensity_logreg,v3.0,0.6228,62.28,56.51,50.73,68.49,86.33,59.38,61.86,Low,2026-08-31 18:00:00
SC000026805,CUS00006702,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4956,49.56,36.49,68.53,9.57,86.33,55.0,48.96,Do not prioritize,2026-08-31 18:00:00
SC000026806,CUS00006702,2026-08-31,P004,sge_propensity_logreg,v3.0,0.2747,27.47,36.49,60.53,9.57,86.33,55.0,41.84,Do not prioritize,2026-08-31 18:00:00
SC000026807,CUS00006702,2026-08-31,P007,sge_propensity_logreg,v3.0,0.3677,36.77,36.49,66.78,9.57,86.33,55.0,45.42,Do not prioritize,2026-08-31 18:00:00
SC000026808,CUS00006702,2026-08-31,P009,sge_propensity_logreg,v3.0,0.2389,23.89,36.49,59.66,9.57,86.33,55.0,40.77,Do not prioritize,2026-08-31 18:00:00
SC000026809,CUS00006703,2026-08-31,P001,sge_propensity_logreg,v3.0,0.3874,38.74,14.77,55.02,28.09,38.0,56.25,37.28,Do not prioritize,2026-08-31 18:00:00
SC000026810,CUS00006703,2026-08-31,P004,sge_propensity_logreg,v3.0,0.1292,12.92,14.77,17.52,28.09,38.0,56.25,23.33,Do not prioritize,2026-08-31 18:00:00
SC000026811,CUS00006703,2026-08-31,P007,sge_propensity_logreg,v3.0,0.1379,13.79,14.77,17.52,28.09,38.0,56.25,23.54,Do not prioritize,2026-08-31 18:00:00
SC000026812,CUS00006703,2026-08-31,P009,sge_propensity_logreg,v3.0,0.1002,10.02,14.77,16.27,28.09,38.0,56.25,22.35,Do not prioritize,2026-08-31 18:00:00
SC000026813,CUS00006704,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4589,45.89,53.27,47.66,43.87,74.67,48.75,50.58,Do not prioritize,2026-08-31 18:00:00
SC000026814,CUS00006704,2026-08-31,P004,sge_propensity_logreg,v3.0,0.4529,45.29,53.27,39.41,43.87,74.67,48.75,48.78,Do not prioritize,2026-08-31 18:00:00
SC000026815,CUS00006704,2026-08-31,P007,sge_propensity_logreg,v3.0,0.4774,47.74,53.27,39.41,43.87,74.67,48.75,49.39,Do not prioritize,2026-08-31 18:00:00
SC000026816,CUS00006704,2026-08-31,P009,sge_propensity_logreg,v3.0,0.4524,45.24,53.27,38.72,43.87,74.67,48.75,48.63,Do not prioritize,2026-08-31 18:00:00
SC000026817,CUS00006705,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4591,45.91,27.7,48.23,47.12,61.33,34.38,43.3,Do not prioritize,2026-08-31 18:00:00
SC000026818,CUS00006705,2026-08-31,P004,sge_propensity_logreg,v3.0,0.3191,31.91,27.7,44.23,47.12,61.33,34.38,39.0,Do not prioritize,2026-08-31 18:00:00
SC000026819,CUS00006705,2026-08-31,P007,sge_propensity_logreg,v3.0,0.3635,36.35,27.7,44.23,47.12,61.33,34.38,40.11,Do not prioritize,2026-08-31 18:00:00
SC000026820,CUS00006705,2026-08-31,P009,sge_propensity_logreg,v3.0,0.3109,31.09,27.7,43.17,47.12,61.33,34.38,38.59,Do not prioritize,2026-08-31 18:00:00
SC000026821,CUS00006706,2026-08-31,P001,sge_propensity_logreg,v3.0,0.3533,35.33,40.67,62.13,49.62,61.33,37.5,46.72,Do not prioritize,2026-08-31 18:00:00
SC000026822,CUS00006706,2026-08-31,P004,sge_propensity_logreg,v3.0,0.3842,38.42,40.67,53.13,49.62,61.33,37.5,45.69,Do not prioritize,2026-08-31 18:00:00
SC000026823,CUS00006706,2026-08-31,P007,sge_propensity_logreg,v3.0,0.2633,26.33,40.67,42.13,49.62,61.33,37.5,40.47,Do not prioritize,2026-08-31 18:00:00
SC000026824,CUS00006706,2026-08-31,P009,sge_propensity_logreg,v3.0,0.2143,21.43,40.67,40.88,49.62,61.33,37.5,38.99,Do not prioritize,2026-08-31 18:00:00
SC000026825,CUS00006707,2026-08-31,P001,sge_propensity_logreg,v3.0,0.8527,85.27,75.94,73.69,73.83,86.33,67.5,77.7,Medium,2026-08-31 18:00:00
SC000026826,CUS00006707,2026-08-31,P004,sge_propensity_logreg,v3.0,0.7028,70.28,75.94,56.69,73.83,86.33,67.5,70.55,Medium,2026-08-31 18:00:00
SC000026827,CUS00006707,2026-08-31,P007,sge_propensity_logreg,v3.0,0.4638,46.38,75.94,41.19,73.83,86.33,67.5,61.48,Low,2026-08-31 18:00:00
SC000026828,CUS00006707,2026-08-31,P009,sge_propensity_logreg,v3.0,0.7625,76.25,75.94,56.32,73.83,86.33,67.5,71.97,Medium,2026-08-31 18:00:00
SC000026829,CUS00006708,2026-08-31,P001,sge_propensity_logreg,v3.0,0.6418,64.18,88.84,32.08,58.47,78.33,55.0,62.33,Low,2026-08-31 18:00:00
SC000026830,CUS00006708,2026-08-31,P004,sge_propensity_logreg,v3.0,0.6693,66.93,88.84,42.58,58.47,86.33,55.0,65.92,Low,2026-08-31 18:00:00
SC000026831,CUS00006708,2026-08-31,P007,sge_propensity_logreg,v3.0,0.683,68.3,88.84,42.58,58.47,82.33,55.0,65.86,Low,2026-08-31 18:00:00
SC000026832,CUS00006708,2026-08-31,P009,sge_propensity_logreg,v3.0,0.683,68.3,88.84,41.89,58.47,86.33,55.0,66.12,Low,2026-08-31 18:00:00
SC000026833,CUS00006709,2026-08-31,P001,sge_propensity_logreg,v3.0,0.5843,58.43,62.98,60.8,41.16,74.67,67.08,59.71,Do not prioritize,2026-08-31 18:00:00
SC000026834,CUS00006709,2026-08-31,P004,sge_propensity_logreg,v3.0,0.6848,68.48,62.98,63.3,41.16,70.67,67.08,62.32,Low,2026-08-31 18:00:00
SC000026835,CUS00006709,2026-08-31,P007,sge_propensity_logreg,v3.0,0.8162,81.62,62.98,69.55,41.16,74.67,67.08,67.26,Low,2026-08-31 18:00:00
SC000026836,CUS00006709,2026-08-31,P009,sge_propensity_logreg,v3.0,0.6405,64.05,62.98,56.74,41.16,74.67,67.08,60.31,Low,2026-08-31 18:00:00
SC000026837,CUS00006710,2026-08-31,P001,sge_propensity_logreg,v3.0,0.2102,21.02,13.44,56.85,22.05,38.0,18.75,28.3,Do not prioritize,2026-08-31 18:00:00
SC000026838,CUS00006710,2026-08-31,P004,sge_propensity_logreg,v3.0,0.2126,21.26,13.44,41.85,22.05,38.0,18.75,25.36,Do not prioritize,2026-08-31 18:00:00
SC000026839,CUS00006710,2026-08-31,P007,sge_propensity_logreg,v3.0,0.219,21.9,13.44,41.85,22.05,34.0,18.75,25.12,Do not prioritize,2026-08-31 18:00:00
SC000026840,CUS00006710,2026-08-31,P009,sge_propensity_logreg,v3.0,0.1131,11.31,13.44,34.35,22.05,38.0,18.75,21.37,Do not prioritize,2026-08-31 18:00:00
SC000026841,CUS00006711,2026-08-31,P001,sge_propensity_logreg,v3.0,0.2231,22.31,18.18,38.92,17.77,38.0,21.88,25.65,Do not prioritize,2026-08-31 18:00:00
SC000026842,CUS00006711,2026-08-31,P004,sge_propensity_logreg,v3.0,0.168,16.8,18.18,21.42,17.77,38.0,21.88,20.77,Do not prioritize,2026-08-31 18:00:00
SC000026843,CUS00006711,2026-08-31,P007,sge_propensity_logreg,v3.0,0.1068,10.68,18.18,12.67,17.77,38.0,21.88,17.49,Do not prioritize,2026-08-31 18:00:00
SC000026844,CUS00006711,2026-08-31,P009,sge_propensity_logreg,v3.0,0.1555,15.55,18.18,20.49,17.77,38.0,21.88,20.27,Do not prioritize,2026-08-31 18:00:00
SC000026845,CUS00006712,2026-08-31,P001,sge_propensity_logreg,v3.0,0.3563,35.63,25.81,48.47,38.51,82.33,62.5,44.02,Do not prioritize,2026-08-31 18:00:00
SC000026846,CUS00006712,2026-08-31,P004,sge_propensity_logreg,v3.0,0.3255,32.55,25.81,55.22,38.51,86.33,62.5,45.0,Do not prioritize,2026-08-31 18:00:00
SC000026847,CUS00006712,2026-08-31,P007,sge_propensity_logreg,v3.0,0.3349,33.49,25.81,55.22,38.51,86.33,62.5,45.24,Do not prioritize,2026-08-31 18:00:00
SC000026848,CUS00006712,2026-08-31,P009,sge_propensity_logreg,v3.0,0.3086,30.86,25.81,54.53,38.51,86.33,62.5,44.44,Do not prioritize,2026-08-31 18:00:00
SC000026849,CUS00006713,2026-08-31,P001,sge_propensity_logreg,v3.0,0.5732,57.32,27.17,60.87,62.68,98.0,56.25,56.76,Do not prioritize,2026-08-31 18:00:00
SC000026850,CUS00006713,2026-08-31,P004,sge_propensity_logreg,v3.0,0.2892,28.92,27.17,48.37,62.68,98.0,56.25,47.17,Do not prioritize,2026-08-31 18:00:00
SC000026851,CUS00006713,2026-08-31,P007,sge_propensity_logreg,v3.0,0.5194,51.94,27.17,65.87,62.68,98.0,56.25,56.42,Do not prioritize,2026-08-31 18:00:00
SC000026852,CUS00006713,2026-08-31,P009,sge_propensity_logreg,v3.0,0.5102,51.02,27.17,65.56,62.68,98.0,56.25,56.13,Do not prioritize,2026-08-31 18:00:00
SC000026853,CUS00006714,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4328,43.28,45.65,37.98,53.85,49.67,54.17,46.01,Do not prioritize,2026-08-31 18:00:00
SC000026854,CUS00006714,2026-08-31,P004,sge_propensity_logreg,v3.0,0.463,46.3,45.65,33.48,53.85,49.67,54.17,45.86,Do not prioritize,2026-08-31 18:00:00
SC000026855,CUS00006714,2026-08-31,P007,sge_propensity_logreg,v3.0,0.7007,70.07,45.65,42.98,53.85,45.67,54.17,53.3,Do not prioritize,2026-08-31 18:00:00
SC000026856,CUS00006714,2026-08-31,P009,sge_propensity_logreg,v3.0,0.9222,92.22,45.65,55.61,53.85,49.67,54.17,61.77,Low,2026-08-31 18:00:00
SC000026857,CUS00006715,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4085,40.85,25.01,45.68,63.91,86.33,73.96,49.97,Do not prioritize,2026-08-31 18:00:00
SC000026858,CUS00006715,2026-08-31,P004,sge_propensity_logreg,v3.0,0.8041,80.41,25.01,65.18,63.91,82.33,73.96,63.36,Low,2026-08-31 18:00:00
SC000026859,CUS00006715,2026-08-31,P007,sge_propensity_logreg,v3.0,0.1584,15.84,25.01,25.68,63.91,86.33,73.96,39.71,Do not prioritize,2026-08-31 18:00:00
SC000026860,CUS00006715,2026-08-31,P009,sge_propensity_logreg,v3.0,0.4278,42.78,25.01,42.43,63.91,86.33,73.96,49.8,Do not prioritize,2026-08-31 18:00:00
SC000026861,CUS00006716,2026-08-31,P001,sge_propensity_logreg,v3.0,0.7449,74.49,90.55,40.47,54.23,62.33,65.0,65.69,Low,2026-08-31 18:00:00
SC000026862,CUS00006716,2026-08-31,P004,sge_propensity_logreg,v3.0,0.7172,71.72,90.55,47.72,54.23,66.33,65.0,66.85,Low,2026-08-31 18:00:00
SC000026863,CUS00006716,2026-08-31,P007,sge_propensity_logreg,v3.0,0.4722,47.22,90.55,29.22,54.23,66.33,65.0,57.03,Do not prioritize,2026-08-31 18:00:00
SC000026864,CUS00006716,2026-08-31,P009,sge_propensity_logreg,v3.0,0.4364,43.64,90.55,27.97,54.23,58.33,65.0,55.08,Do not prioritize,2026-08-31 18:00:00
SC000026865,CUS00006717,2026-08-31,P001,sge_propensity_logreg,v3.0,0.3006,30.06,41.92,43.33,58.39,78.0,44.38,45.56,Do not prioritize,2026-08-31 18:00:00
SC000026866,CUS00006717,2026-08-31,P004,sge_propensity_logreg,v3.0,0.2092,20.92,41.92,22.08,58.39,78.0,44.38,39.03,Do not prioritize,2026-08-31 18:00:00
SC000026867,CUS00006717,2026-08-31,P007,sge_propensity_logreg,v3.0,0.5209,52.09,41.92,43.08,58.39,74.0,44.38,50.62,Do not prioritize,2026-08-31 18:00:00
SC000026868,CUS00006717,2026-08-31,P009,sge_propensity_logreg,v3.0,0.5497,54.97,41.92,42.02,58.39,78.0,44.38,51.53,Do not prioritize,2026-08-31 18:00:00
SC000026869,CUS00006718,2026-08-31,P001,sge_propensity_logreg,v3.0,0.319,31.9,33.85,57.28,35.6,58.0,20.0,39.34,Do not prioritize,2026-08-31 18:00:00
SC000026870,CUS00006718,2026-08-31,P004,sge_propensity_logreg,v3.0,0.4499,44.99,33.85,56.03,35.6,58.0,20.0,42.36,Do not prioritize,2026-08-31 18:00:00
SC000026871,CUS00006718,2026-08-31,P007,sge_propensity_logreg,v3.0,0.2175,21.75,33.85,37.28,35.6,58.0,20.0,32.8,Do not prioritize,2026-08-31 18:00:00
SC000026872,CUS00006718,2026-08-31,P009,sge_propensity_logreg,v3.0,0.3842,38.42,33.85,49.16,35.6,58.0,20.0,39.35,Do not prioritize,2026-08-31 18:00:00
SC000026873,CUS00006719,2026-08-31,P001,sge_propensity_logreg,v3.0,0.3892,38.92,73.45,49.42,34.83,74.67,53.12,52.31,Do not prioritize,2026-08-31 18:00:00
SC000026874,CUS00006719,2026-08-31,P004,sge_propensity_logreg,v3.0,0.4317,43.17,73.45,42.67,34.83,74.67,53.12,52.02,Do not prioritize,2026-08-31 18:00:00
SC000026875,CUS00006719,2026-08-31,P007,sge_propensity_logreg,v3.0,0.2289,22.89,73.45,29.42,34.83,74.67,53.12,44.3,Do not prioritize,2026-08-31 18:00:00
SC000026876,CUS00006719,2026-08-31,P009,sge_propensity_logreg,v3.0,0.1938,19.38,73.45,28.17,34.83,74.67,53.12,43.17,Do not prioritize,2026-08-31 18:00:00
SC000026877,CUS00006720,2026-08-31,P001,sge_propensity_logreg,v3.0,0.6601,66.01,83.47,58.71,61.14,78.0,65.0,68.41,Low,2026-08-31 18:00:00
SC000026878,CUS00006720,2026-08-31,P004,sge_propensity_logreg,v3.0,0.5076,50.76,83.47,52.46,61.14,78.0,65.0,63.35,Low,2026-08-31 18:00:00
SC000026879,CUS00006720,2026-08-31,P007,sge_propensity_logreg,v3.0,0.4492,44.92,83.47,53.71,61.14,78.0,65.0,62.14,Low,2026-08-31 18:00:00
SC000026880,CUS00006720,2026-08-31,P009,sge_propensity_logreg,v3.0,0.7932,79.32,83.47,72.09,61.14,74.0,65.0,74.01,Medium,2026-08-31 18:00:00
SC000026881,CUS00006721,2026-08-31,P001,sge_propensity_logreg,v3.0,0.2842,28.42,38.75,17.37,57.51,30.0,42.5,34.21,Do not prioritize,2026-08-31 18:00:00
SC000026882,CUS00006721,2026-08-31,P004,sge_propensity_logreg,v3.0,0.6474,64.74,38.75,33.62,57.51,30.0,42.5,46.54,Do not prioritize,2026-08-31 18:00:00
SC000026883,CUS00006721,2026-08-31,P007,sge_propensity_logreg,v3.0,0.3235,32.35,38.75,19.62,57.51,38.0,42.5,36.44,Do not prioritize,2026-08-31 18:00:00
SC000026884,CUS00006721,2026-08-31,P009,sge_propensity_logreg,v3.0,0.2707,27.07,38.75,18.56,57.51,38.0,42.5,34.91,Do not prioritize,2026-08-31 18:00:00
SC000026885,CUS00006722,2026-08-31,P001,sge_propensity_logreg,v3.0,0.7917,79.17,91.54,56.86,69.69,86.33,45.0,73.06,Medium,2026-08-31 18:00:00
SC000026886,CUS00006722,2026-08-31,P004,sge_propensity_logreg,v3.0,0.717,71.7,91.54,46.11,69.69,86.33,45.0,69.04,Low,2026-08-31 18:00:00
SC000026887,CUS00006722,2026-08-31,P007,sge_propensity_logreg,v3.0,0.4942,49.42,91.54,30.61,69.69,86.33,45.0,60.37,Low,2026-08-31 18:00:00
SC000026888,CUS00006722,2026-08-31,P009,sge_propensity_logreg,v3.0,0.7801,78.01,91.54,45.73,69.69,82.33,45.0,70.14,Medium,2026-08-31 18:00:00
SC000026889,CUS00006723,2026-08-31,P001,sge_propensity_logreg,v3.0,0.1339,13.39,24.3,32.98,9.17,34.0,34.38,23.02,Do not prioritize,2026-08-31 18:00:00
SC000026890,CUS00006723,2026-08-31,P004,sge_propensity_logreg,v3.0,0.1237,12.37,24.3,11.73,9.17,38.0,34.38,18.91,Do not prioritize,2026-08-31 18:00:00
SC000026891,CUS00006723,2026-08-31,P007,sge_propensity_logreg,v3.0,0.2285,22.85,24.3,24.23,9.17,34.0,34.38,23.63,Do not prioritize,2026-08-31 18:00:00
SC000026892,CUS00006723,2026-08-31,P009,sge_propensity_logreg,v3.0,0.121,12.1,24.3,16.73,9.17,38.0,34.38,19.84,Do not prioritize,2026-08-31 18:00:00
SC000026893,CUS00006724,2026-08-31,P001,sge_propensity_logreg,v3.0,0.6125,61.25,75.4,49.75,66.48,86.33,62.5,65.2,Low,2026-08-31 18:00:00
